category,name,description,status,price_ars,price_cents,source_page,raw_line
JARABES,DEWEY JARABE DE GLUCOSA DEWEY - BALDE 5.6 KB,,no_price,,,1,DEWEY JARABE DE GLUCOSA DEWEY - BALDE 5.6 KB -
JARABES,DEWEY JARABE DE GLUCOSA DEWEY - POTE 180 G,,no_price,,,1,DEWEY JARABE DE GLUCOSA DEWEY - POTE 180 G -
JARABES,EMETH JARABE DE GLUCOSA EMETH - BALDE 6 KG,,priced,16700.0,1670000,1,"EMETH JARABE DE GLUCOSA EMETH - BALDE 6 KG $16.700,00"
MIEL Y OTROS ENDULZANTES,EL TALAR MIEL EL TALAR - BALDE 5.5 KG,,priced,23100.0,2310000,1,"EL TALAR MIEL EL TALAR - BALDE 5.5 KG $23.100,00"
MIEL Y OTROS ENDULZANTES,EMETH CARAMELO LÍQUIDO EMETH - BOTELLA 1.25 KG,,priced,5000.0,500000,1,"EMETH CARAMELO LÍQUIDO EMETH - BOTELLA 1.25 KG $5.000,00"
MIEL Y OTROS ENDULZANTES,EMETH CARAMELO LÍQUIDO EMETH - BOTELLA 450 G,,no_price,,,1,EMETH CARAMELO LÍQUIDO EMETH - BOTELLA 450 G -
BAÑO DE MOLDEO,CHOCOLATE COLONIAL BAÑ0 MOLDATTE BLANCO - BOLSA 1 KG,,priced,11900.0,1190000,1,"CHOCOLATE COLONIAL BAÑ0 MOLDATTE BLANCO - BOLSA 1 KG $11.900,00"
BAÑO DE MOLDEO,CHOCOLATE COLONIAL BAÑ0 MOLDATTE CON LECHE - BOLSA 1 KS,,priced,11900.0,1190000,1,"CHOCOLATE COLONIAL BAÑ0 MOLDATTE CON LECHE - BOLSA 1 KS $11.900,00"
BAÑO DE MOLDEO,CHOCOLATE COLONIAL BAÑ0 MOLDATTE SEMIAMARGO - BOLSA 1 KG,,priced,11900.0,1190000,1,"CHOCOLATE COLONIAL BAÑ0 MOLDATTE SEMIAMARGO - BOLSA 1 KG $11.900,00"
BAÑO DE MOLDEO,CHOCOLATE COLONIAL BAÑO MOLDATTE SEMIAMARGO - BOLSA 500 G,,priced,3900.0,390000,1,"CHOCOLATE COLONIAL BAÑO MOLDATTE SEMIAMARGO - BOLSA 500 G $3.900,00"
BAÑO DE MOLDEO,CHOCOLATE COLONIAL BAÑO MOLDATTE SEMIAMARGO - BOLSA 20 KG,,priced,118000.0,11800000,1,"CHOCOLATE COLONIAL BAÑO MOLDATTE SEMIAMARGO - BOLSA 20 KG $118.000,00"
BAÑO DE MOLDEO,CHOCOLATE COLONIAL BAÑO MOLDATTE BLANCO - BOLSA 20 KG,,priced,123000.0,12300000,1,"CHOCOLATE COLONIAL BAÑO MOLDATTE BLANCO - BOLSA 20 KG $123.000,00"
BAÑO DE MOLDEO,CHOCOLATE COLONIAL BAÑO MOLDATTE SEMIAMARGO- BOLSA 10 KG,,priced,92000.0,9200000,1,"CHOCOLATE COLONIAL BAÑO MOLDATTE SEMIAMARGO- BOLSA 10 KG $92.000,00"
BAÑO DE MOLDEO,CHOCOLATE COLONIAL BAÑO MOLDATTE BLANCO - BOLSA 10 KG,,priced,85000.0,8500000,1,"CHOCOLATE COLONIAL BAÑO MOLDATTE BLANCO - BOLSA 10 KG $85.000,00"
BAÑO DE MOLDEO,CHOCOLATES INDUSTRIALES CHOCOLART BLANCO (CÓD. PABA) - BOLSA 500G,,priced,4600.0,460000,1,"CHOCOLATES INDUSTRIALES CHOCOLART BLANCO (CÓD. PABA) - BOLSA 500G $4.600,00"
BAÑO DE MOLDEO,CHOCOLATES INDUSTRIALES CHOCOLART CON LECHE (CÓD. PALE) - BOLSA 500G,,priced,4600.0,460000,1,"CHOCOLATES INDUSTRIALES CHOCOLART CON LECHE (CÓD. PALE) - BOLSA 500G $4.600,00"
BAÑO DE MOLDEO,CHOCOLATES INDUSTRIALES CHOCOLART SEMIAMARSO (CÓD. PASA) - BOLSA 500G,,priced,4600.0,460000,1,"CHOCOLATES INDUSTRIALES CHOCOLART SEMIAMARSO (CÓD. PASA) - BOLSA 500G $4.600,00"
BAÑO DE MOLDEO,LODISER BLANCO (CÓD. BAM03A) ALPINO - TABLETA 500 G,,priced,3800.0,380000,1,"LODISER BLANCO (CÓD. BAM03A) ALPINO - TABLETA 500 G $3.800,00"
BAÑO DE MOLDEO,LODISER CON LECHE (CÓD. BAM02A) ALPINO - TABLETA 500 G,,priced,3800.0,380000,1,"LODISER CON LECHE (CÓD. BAM02A) ALPINO - TABLETA 500 G $3.800,00"
BAÑO DE MOLDEO,LODISER FRUTILLA (CÓD. BAM14) ALPINO - TABLETA 500 G,,priced,3800.0,380000,1,"LODISER FRUTILLA (CÓD. BAM14) ALPINO - TABLETA 500 G $3.800,00"
BAÑO DE MOLDEO,LODISER SEMIAMARGO (CÓD. BAM01A) ALPINO - CAJA 3 KG,,priced,22800.0,2280000,1,"LODISER SEMIAMARGO (CÓD. BAM01A) ALPINO - CAJA 3 KG $22.800,00"
BAÑO DE MOLDEO,LODISER SEMIAMARGO (CÓD. BAM01A) ALPINO - TABLETA 500 G,,priced,3800.0,380000,1,"LODISER SEMIAMARGO (CÓD. BAM01A) ALPINO - TABLETA 500 G $3.800,00"
BAÑO DE MOLDEO,LODISER CHIPS SEMIAMARGO (CÓD. CHIP01A) ALPINO - CAJA 6 KG,,priced,42000.0,4200000,1,"LODISER CHIPS SEMIAMARGO (CÓD. CHIP01A) ALPINO - CAJA 6 KG $42.000,00"
BAÑO DE MOLDEO,LODISER CHIPS SEMIAMARGO (CÓD. CHIP01A) ALPINO - BOLSA 1 KG,,priced,7000.0,700000,1,"LODISER CHIPS SEMIAMARGO (CÓD. CHIP01A) ALPINO - BOLSA 1 KG $7.000,00"
BAÑO DE MOLDEO,MAPSA MICROCHIPS MAPSA CAJA 3 KG,,priced,27200.0,2720000,1,"MAPSA MICROCHIPS MAPSA CAJA 3 KG $27.200,00"
BAÑO DE MOLDEO,LODISER PINS BLANCOS (CÓD. BAM03P) ALPINO - CAJA 6 KG,,priced,58800.0,5880000,1,"LODISER PINS BLANCOS (CÓD. BAM03P) ALPINO - CAJA 6 KG $58.800,00"
BAÑO DE MOLDEO,LODISER PINS BLANCOS (CÓD. BAM03P) ALPINO - BOLSA 1KG,,priced,9800.0,980000,1,"LODISER PINS BLANCOS (CÓD. BAM03P) ALPINO - BOLSA 1KG $9.800,00"
BAÑO DE MOLDEO,LODISER PINS CON LECHE (CÓD. BAM02P) ALPINO - CAJA 6 KG,,priced,58800.0,5880000,1,"LODISER PINS CON LECHE (CÓD. BAM02P) ALPINO - CAJA 6 KG $58.800,00"
BAÑO DE MOLDEO,LODISER PINS CON LECHE (CÓD. BAM03P) ALPINO - BOLSA 1KG,,priced,9800.0,980000,1,"LODISER PINS CON LECHE (CÓD. BAM03P) ALPINO - BOLSA 1KG $9.800,00"
